code_commune;nb_immigres_2017;nb_non_immigres_2017
69001;6;363
69002;4;244
69003;247;2633
69004;22;741
69005;51;527
69006;299;4677
69007;93;2620
69008;11;629
69009;555;6623
69010;635;5763
69012;8;614
69013;209;3569
69014;14;1113
69016;4;116
69017;37;694
69018;99;2058
69019;1319;11652
69020;25;606
69021;83;2210
69022;7;568
69023;48;1583
69024;106;3931
69026;19;511
69027;1206;10228
69028;262;5912
69029;7847;33696
69030;11;805
69031;34;1342
69032;61;1921
69033;83;2639
69034;4132;39055
69035;6;385
69036;37;1091
69037;25;814
69038;30;908
69039;36;646
69040;521;5005
69042;11;562
69043;426;8291
69044;326;4741
69045;36;1204
69046;186;4355
69047;44;1013
69049;114;2670
69050;103;2034
69051;23;1093
69052;175;3955
69053;19;526
69054;6;315
69055;64;1389
69056;110;1953
69057;16;541
69058;6;385
69059;76;1439
69060;10;625
69061;17;1150
69062;13;756
69063;249;3803
69064;238;3659
69065;35;907
69066;174;4275
69067;39;1079
69068;234;2282
69069;638;10429
69070;36;1230
69071;64;1108
69072;527;8073
69074;38;1475
69075;7;179
69076;96;2480
69077;24;932
69078;7;822
69080;59;1740
69081;2243;16274
69082;3;256
69083;74;1095
69084;22;1243
69085;68;1381
69086;88;2246
69087;308;2744
69088;608;6461
69089;1071;13127
69090;40;775
69091;4084;15891
69092;776;6696
69093;36;1145
69094;264;5470
69095;10;805
69096;1238;8424
69097;24;761
69098;14;478
69099;19;1425
69100;682;7959
69102;4;687
69103;9;900
69104;11;424
69105;26;946
69106;46;1072
69107;30;1018
69108;21;1000
69109;17;863
69110;32;1821
69111;22;645
69112;208;5585
69113;19;903
69115;392;4411
69116;271;3393
69117;165;2957
69118;118;2441
69119;18;959
69120;12;583
69121;114;2512
69122;65;1743
69123;69384;446708
69124;8;454
69125;25;850
69126;13;713
69127;240;3417
69130;6;231
69131;101;3280
69132;18;832
69133;188;4143
69134;6;204
69135;125;1780
69136;176;2783
69137;13;489
69138;6;450
69139;27;1358
69140;52;1918
69141;218;5720
69142;988;5346
69143;1032;6482
69145;26;901
69148;91;2353
69149;2944;23329
69151;47;1540
69152;1867;8523
69153;54;1278
69154;66;2571
69155;27;1118
69156;77;2560
69157;163;4970
69159;185;3568
69160;31;1071
69161;8;460
69162;25;1300
69163;187;3280
69164;11;308
69165;22;1097
69166;7;315
69167;9;570
69168;123;1405
69169;10;626
69170;14;1148
69171;133;2183
69172;28;763
69173;11;991
69174;8;604
69175;48;1961
69176;183;4332
69177;48;1981
69178;13;800
69179;166;3847
69180;2;282
69181;3;210
69182;6;350
69183;6;307
69184;17;963
69186;3;223
69187;18;622
69188;34;875
69189;133;1776
69190;59;1880
69191;377;5199
69192;5;140
69193;56;1250
69194;348;6437
69196;18;598
69197;61;2146
69198;22;719
69199;5875;12927
69200;31;1455
69201;47;1234
69202;2027;19985
69203;32;1009
69204;1920;19297
69205;342;4642
69206;199;4179
69207;185;2900
69208;70;2195
69209;15;567
69212;5;427
69214;43;1171
69215;22;832
69216;10;552
69217;14;733
69218;31;1009
69219;50;2089
69220;31;1796
69225;14;510
69227;66;3799
69228;113;4070
69229;18;772
69230;6;318
69231;89;2546
69233;69;1142
69234;43;1517
69235;144;1745
69236;46;533
69238;143;3539
69239;29;1163
69240;9;621
69241;60;2479
69242;68;908
69243;1197;9385
69244;2063;20234
69245;13;671
69246;45;1202
69248;359;5672
69249;71;2979
69250;212;3838
69252;32;705
69253;12;605
69254;20;932
69255;200;5534
69256;14011;35647
69257;26;1061
69258;7;314
69259;17590;48304
69260;422;4576
69261;1;100
69263;14;869
69264;5681;31176
69265;27;779
69266;27478;120234
69267;77;2034
69268;142;3269
69269;20;1002
69270;190;4083
69271;866;9493
69272;202;3995
69273;1170;9880
69275;5079;23523
69276;1566;8291
69277;698;12036
69278;458;5012
69279;454;5449
69280;101;1386
69281;70;1618
69282;4938;28539
69283;1180;12362
69284;124;3018
69285;335;3779
69286;6054;23958
69287;352;6448
69288;340;5037
69289;209;4311
69290;8210;37997
69291;400;5335
69292;447;5487
69293;78;2282
69294;168;2496
69295;93;1719
69296;166;2756
69297;351;5163
69298;143;2937
69299;171;2442
